python-4/_pyio-segmentation_fault	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
python-4/asyncio_streams-segmentation_fault	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
python-4/asyncio_threads-segmentation_fault	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
python-4/asyncio_threads-segmentation_fault-2	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
python-4/concurrent_futures_process-segmentation_fault	SIGABRT	fatal_error_exit@Python/pylifecycle.c:3517	fatal_error_exit@Python/pylifecycle.c:3517;fatal_error@Python/pylifecycle.c:3742;_Py_FatalErrorFunc@Python/pylifecycle.c:3765;
python-4/concurrent_interpreters__crossinterp-segmentation_fault	NOREPRO	?	;
python-4/importlib__bootstrap_external-segmentation_fault	SIGSEGV	warn_unicode@Python/_warnings.c:1335	warn_unicode@Python/_warnings.c:1335;PyErr_WarnEx@Python/_warnings.c:1408;_Py_BuiltinCallFastWithKeywords_StackRef@Python/ceval.c:841;
python-4/genericpath-segmentation_fault	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
python-4/multiprocessing_resource_tracker-segmentation_fault	SIGSEGV	warn_unicode@Python/_warnings.c:1335	warn_unicode@Python/_warnings.c:1335;PyErr_WarnEx@Python/_warnings.c:1408;type_call@Objects/typeobject.c:2484;
python-4/urllib_parse-segmentation_fault	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
